VidName,ImgName,Lati,Longi,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,Score
GRMN0157,GRMN015701.jpg,37.39,-121.954,713,1293,4616,3023,18468,57411,61274,16386,3163,3581,2109,1511,1016,309,96,31,2
GRMN0157,GRMN015702.jpg,37.39,-121.954,390,1895,4696,2640,25826,62013,53327,14435,5288,2179,1021,598,450,156,57,29,2
GRMN0157,GRMN015703.jpg,37.39,-121.954,308,789,4313,2576,29109,62588,55815,13218,3375,1402,668,476,216,90,45,12,2
GRMN0157,GRMN015704.jpg,37.39,-121.954,537,793,4002,3433,28843,57820,57618,16159,3189,1061,758,524,154,61,39,9,2
GRMN0157,GRMN015705.jpg,37.39,-121.954,503,623,2018,1314,8841,48190,70528,31760,4543,4043,1697,586,234,76,29,15,2
GRMN0157,GRMN015706.jpg,37.39,-121.954,493,782,2010,1617,5511,41619,73031,35403,8860,3189,1275,610,329,183,59,29,2
GRMN0157,GRMN015707.jpg,37.39,-121.954,576,666,2916,2485,5839,25430,73338,45126,13342,3095,852,680,386,224,36,9,2
GRMN0157,GRMN015708.jpg,37.39,-121.954,525,722,3650,1275,2089,24825,69677,53274,12880,3133,1564,653,369,228,87,49,2
GRMN0157,GRMN015709.jpg,37.39,-121.954,605,1321,3172,1324,2822,30072,68418,46983,12403,2777,2147,1339,899,426,188,104,2
GRMN0157,GRMN015710.jpg,37.39,-121.954,226,311,3103,2440,13138,46076,71112,31445,5133,790,608,396,194,24,4,0,2
GRMN0157,GRMN015711.jpg,37.39,-121.954,184,343,3362,1300,14314,52123,72180,25706,3547,970,531,235,144,53,7,1,2
GRMN0157,GRMN015712.jpg,37.39,-121.954,212,358,3498,1811,13480,49664,68303,29656,6149,967,521,255,97,23,6,0,2
GRMN0157,GRMN015713.jpg,37.39,-121.954,244,401,3636,2900,18881,52926,61522,26326,4273,2005,1054,616,195,16,5,0,2
GRMN0157,GRMN015714.jpg,37.39,-121.954,284,475,7183,6716,41691,61258,36359,14485,4217,1144,697,367,106,17,1,0,2
GRMN0157,GRMN015715.jpg,37.39,-121.954,755,1321,6993,3840,31900,65971,42226,12134,4683,2142,1465,789,579,138,53,11,2
GRMN0157,GRMN015716.jpg,37.39,-121.954,1266,3232,8439,7685,32631,53418,33577,14567,7826,5517,3391,2294,782,234,93,48,2
GRMN0157,GRMN015717.jpg,37.39,-121.954,369,1828,6322,3159,8487,48602,75927,17671,7501,3048,1157,524,232,107,40,26,2
GRMN0157,GRMN015718.jpg,37.39,-121.954,190,464,4650,1757,4036,32962,83539,30654,11956,2889,1159,544,150,31,15,4,2
GRMN0157,GRMN015719.jpg,37.39,-121.954,338,627,4981,2905,5994,35212,80672,29852,10393,2387,959,493,152,28,7,0,2
GRMN0157,GRMN015720.jpg,37.39,-121.954,176,674,5320,3197,5158,34988,80693,33747,7350,2061,1040,422,139,32,3,0,2
GRMN0157,GRMN015721.jpg,37.39,-121.954,92,412,3789,4566,3992,23486,80088,40709,14257,1847,1016,506,163,57,16,4,2
GRMN0157,GRMN015722.jpg,37.39,-121.954,241,606,2593,3317,2307,13431,72200,48044,23723,5372,1346,796,613,241,106,64,2
GRMN0157,GRMN015723.jpg,37.39,-121.954,15,85,278,1188,860,22000,75026,52714,16322,3177,2004,1036,225,43,23,4,2
GRMN0158,GRMN015801.jpg,37.38,-121.96,52,154,755,1934,3598,31532,74607,43977,10054,3517,2979,1179,545,107,10,0,2
GRMN0158,GRMN015802.jpg,37.38,-121.96,143,440,2764,2584,16410,66035,57130,20797,5079,1592,1078,646,251,51,0,0,2
GRMN0158,GRMN015803.jpg,37.38,-121.96,374,607,3535,4213,25338,67470,45570,18977,4853,2385,1061,372,140,51,49,5,2
GRMN0158,GRMN015804.jpg,37.38,-121.96,551,843,5694,3870,24937,65050,50227,12872,6532,2144,1277,598,295,95,15,0,2
GRMN0158,GRMN015805.jpg,37.38,-121.96,290,426,3264,2026,1422,8342,66671,77378,12142,1501,956,363,165,50,4,0,2
GRMN0158,GRMN015806.jpg,37.38,-121.96,316,647,4105,2572,1635,8045,51944,74803,26641,2505,1039,433,187,66,15,47,2
GRMN0158,GRMN015807.jpg,37.38,-121.96,477,1027,8549,7002,7889,53019,67929,17299,4410,3291,2556,1034,440,74,4,0,2
GRMN0158,GRMN015808.jpg,37.38,-121.96,200,493,5886,6833,5615,41349,79102,26056,5149,2081,1232,673,279,52,0,0,2
GRMN0158,GRMN015809.jpg,37.38,-121.96,122,255,5047,3209,3415,33695,81782,36334,7066,1888,1017,651,396,115,8,0,2
GRMN0158,GRMN015810.jpg,37.38,-121.96,129,285,4888,3024,5859,46862,85228,21314,3310,2190,994,635,241,41,0,0,2
GRMN0158,GRMN015811.jpg,37.38,-121.96,63,214,4496,3104,8796,58512,78762,16544,3248,850,306,82,19,4,0,0,2
GRMN0158,GRMN015812.jpg,37.38,-121.96,283,655,7872,4512,15790,64516,66056,10324,2758,1350,577,236,55,15,1,0,2
GRMN0158,GRMN015813.jpg,37.38,-121.96,669,891,7078,4418,13566,57873,59108,24618,4003,1455,643,300,203,107,64,4,2
GRMN0158,GRMN015814.jpg,37.38,-121.96,569,1007,4453,2228,5080,54991,83824,20660,1295,417,205,149,91,25,6,0,2
GRMN0158,GRMN015815.jpg,37.38,-121.96,266,720,10778,3424,7315,57359,71810,15042,3285,1499,2170,790,438,99,5,0,2
GRMN0158,GRMN015816.jpg,37.38,-121.96,570,1622,20139,13093,17169,58238,32074,19673,4651,4324,1949,885,512,97,4,0,2
